115,7.03,7.98,9.04,3251,-5.8,5.9
116,6.87,7.81,8.85,3251,-5.9,5.9
117,6.72,7.65,8.67,3251,-5.9,6
118,6.58,7.48,8.49,3251,-6,6
119,6.44,7.33,8.32,3251,-6,6.1
120,6.3,7.17,8.15,3251,-6.1,6.2
121,6.16,7.03,7.99,3251,-6.2,6.2
122,6.03,6.88,7.83,3251,-6.2,6.3
123,5.91,6.74,7.67,3251,-6.3,6.4
124,5.78,6.6,7.52,3251,-6.3,6.4
125,5.66,6.47,7.37,3251,-6.4,6.5
